Inputs		Function-Values
0.46		1.10027
0.47		1.10442
0.48		1.10865
0.49		1.11294
0.5		1.1173
0.51		1.12171
0.52		1.1262
0.53		1.13074
0.54		1.13534
0.55		1.14
0.56		1.14472
0.57		1.14949
0.58		1.15432
0.59		1.15919
0.6		1.16412
0.61		1.1691
0.62		1.17412
0.63		1.17919
0.64		1.1843
0.65		1.18945
0.66		1.19465
0.67		1.19988
0.68		1.20515
0.69		1.21046
0.7		1.21579
0.71		1.22116
0.72		1.22656
0.73		1.23199
0.74		1.23744
0.75		1.24292
0.76		1.24842
0.77		1.25393
0.78		1.25947
0.79		1.26502
0.8		1.27059
0.81		1.27617
0.82		1.28176
0.83		1.28736
0.84		1.29296
0.85		1.29857
0.86		1.30418
0.87		1.30979
0.88		1.3154
0.89		1.32101
0.9		1.3266
0.91		1.33219
0.92		1.33777
0.93		1.34334
0.94		1.34889
0.95		1.35443
0.96		1.35994
0.97		1.36544
0.98		1.37091
0.99		1.37636
1		1.38177
1.01		1.38716
1.02		1.39252
1.03		1.39784
1.04		1.40312
1.05		1.40837
1.06		1.41357
1.07		1.41873
1.08		1.42384
1.09		1.42891
1.1		1.43392
1.11		1.43889
1.12		1.44379
1.13		1.44865
1.14		1.45344
1.15		1.45817
1.16		1.46283
1.17		1.46743
1.18		1.47196
1.19		1.47642
1.2		1.4808
1.21		1.48511
1.22		1.48935
1.23		1.4935
1.24		1.49757
1.25		1.50155
1.26		1.50545
1.27		1.50926
1.28		1.51298
1.29		1.5166
1.3		1.52012
1.31		1.52355
1.32		1.52688
1.33		1.5301
1.34		1.53322
1.35		1.53623
1.36		1.53913
1.37		1.54192
1.38		1.5446
1.39		1.54716
1.4		1.5496
1.41		1.55192
1.42		1.55411
1.43		1.55618
1.44		1.55812
1.45		1.55994
1.46		1.56162
1.47		1.56316
1.48		1.56458
1.49		1.56585
1.5		1.56698
1.51		1.56797
1.52		1.56881
1.53		1.56951
1.54		1.57006
1.55		1.57046
1.56		1.57071
1.57		1.5708
1.58		1.57073
1.59		1.5705
1.6		1.57012
1.61		1.56957
1.62		1.56886
1.63		1.56798
1.64		1.56693
1.65		1.56571
1.66		1.56431
1.67		1.56275
1.68		1.56101
1.69		1.55909
1.7		1.55699
1.71		1.5547
1.72		1.55224
1.73		1.54959
1.74		1.54675
1.75		1.54373
1.76		1.54051
1.77		1.53711
1.78		1.53351
1.79		1.52971
1.8		1.52572
1.81		1.52153
1.82		1.51715
1.83		1.51256
1.84		1.50776
1.85		1.50277
1.86		1.49757
1.87		1.49216
1.88		1.48654
1.89		1.48072
1.9		1.47468
1.91		1.46843
1.92		1.46197
1.93		1.45529
1.94		1.4484
1.95		1.44129
1.96		1.43396
1.97		1.42642
1.98		1.41865
1.99		1.41066
2		1.40245
2.01		1.39401
2.02		1.38535
2.03		1.37647
2.04		1.36736
2.05		1.35802
2.06		1.34845
2.07		1.33866
2.08		1.32863
2.09		1.31838
2.1		1.30789
2.11		1.29718
2.12		1.28623
2.13		1.27504
2.14		1.26363
2.15		1.25197
2.16		1.24009
2.17		1.22797
2.18		1.21561
2.19		1.20302
2.2		1.19019
2.21		1.17713
2.22		1.16382
2.23		1.15028
2.24		1.13651
2.25		1.12249
2.26		1.10824
2.27		1.09375
2.28		1.07902
2.29		1.06405
2.3		1.04885
2.31		1.0334
2.32		1.01772
2.33		1.0018
2.34		0.985644
2.35		0.969249
2.36		0.952617
2.37		0.935747
2.38		0.918641
2.39		0.901297
2.4		0.883718
2.41		0.865903
2.42		0.847852
2.43		0.829566
2.44		0.811046
2.45		0.792292
2.46		0.773305
2.47		0.754085
2.48		0.734633
2.49		0.71495
2.5		0.695037
2.51		0.674893
2.52		0.654521
2.53		0.633921
2.54		0.613094
2.55		0.59204
2.56		0.570761
2.57		0.549258
2.58		0.527532
2.59		0.505584
2.6		0.483415
2.61		0.461026
2.62		0.438419
2.63		0.415594
2.64		0.392554
2.65		0.369299
2.66		0.34583
2.67		0.32215
2.68		0.29826
2.69		0.27416
2.7		0.249854
2.71		0.225341
2.72		0.200624
2.73		0.175705
2.74		0.150585
2.75		0.125265
2.76		0.0997486
2.77		0.0740363
2.78		0.0481303
2.79		0.0220324
2.8		-0.00425552
2.81		-0.0307314
2.82		-0.0573934
2.83		-0.0842393
2.84		-0.111267
2.85		-0.138475
2.86		-0.16586
2.87		-0.193421
2.88		-0.221156
2.89		-0.249061
2.9		-0.277135
2.91		-0.305376
2.92		-0.33378
2.93		-0.362347
2.94		-0.391073
2.95		-0.419955
2.96		-0.448992
2.97		-0.478181
2.98		-0.507519
2.99		-0.537004
3		-0.566632
3.01		-0.596402
3.02		-0.626311
3.03		-0.656356
3.04		-0.686533
3.05		-0.716841
3.06		-0.747277
3.07		-0.777837
3.08		-0.808518
